PERIODO;CODGERENTE;GERENTE;CODSUPERVISOR;SUPERVISOR;QTRCA_SUPERVISOR;CODUSUR;RCA;QTCLI_RCA;CODFORNEC;FORNECEDOR;CODCLI;CLIENTE;CNPJ;CODRAMO;RAMO;UF;EMPRESA;CODPROD;PRODUTO;EMBALAGEM;QTUNIT;QTUNITCX;EAN;QT;PVENDA;ESTADO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;144;4320,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;96;2880,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1002;COCA-COLA;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-101;COCA COLA 2L;FD 6;6;6;7891111111111;72;504,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5002;PADARIA DO ZE;22345678000100;2;VAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;36;1080,00;TRANSMITIDO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1003;HEINZ;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-201;KETCHUP HEINZ 397G;CX 24;1;24;7892222222222;36;324,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1004;UNILEVER;5003;SUPERMERCADO RIO BRANCO;32345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-301;OMO 1KG;CX 18;1;18;7893333333333;120;1800,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1004;UNILEVER;5003;SUPERMERCADO RIO BRANCO;32345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-302;DOVE SABONETE 90G;CX 48;1;48;7894444444444;144;576,00;TRANSMITIDO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;202;JOAO RCA 2;12;1001;ALPARGATAS;5004;CASA DAS SANDALIAS;42345678000100;3;ESPECIALIZADO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;24;720,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;202;JOAO RCA 2;12;1001;ALPARGATAS;5005;LOJAS REUNIDAS;52345678000100;3;ESPECIALIZADO;PE;FBTAX RECIFE;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;36;1080,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;202;JOAO RCA 2;12;1003;HEINZ;5006;ATACADAO XYZ;62345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-201;KETCHUP HEINZ 397G;CX 24;1;24;7892222222222;48;432,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;102;ANTONIO SUPV;2;203;ANA RCA 3;10;1001;ALPARGATAS;5007;SUPERMERCADO PARAIBANO;72345678000100;1;ATACAREJO;PB;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;72;2160,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;102;ANTONIO SUPV;2;203;ANA RCA 3;10;1002;COCA-COLA;5007;SUPERMERCADO PARAIBANO;72345678000100;1;ATACAREJO;PB;FBTAX RECIFE;P-101;COCA COLA 2L;FD 6;6;6;7891111111111;60;420,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;102;ANTONIO SUPV;2;203;ANA RCA 3;10;1004;UNILEVER;5008;MERCEARIA SANTA CRUZ;82345678000100;2;VAREJO;PB;FBTAX RECIFE;P-301;OMO 1KG;CX 18;1;18;7893333333333;36;540,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;102;ANTONIO SUPV;2;204;CARLOS RCA 4;14;1001;ALPARGATAS;5009;SHOPPING DA MODA;92345678000100;3;ESPECIALIZADO;PB;FBTAX RECIFE;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;144;4320,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;102;ANTONIO SUPV;2;204;CARLOS RCA 4;14;1004;UNILEVER;5010;ATACADO PAGUE MENOS;13345678000100;1;ATACAREJO;PB;FBTAX RECIFE;P-301;OMO 1KG;CX 18;1;18;7893333333333;180;2700,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;102;ANTONIO SUPV;2;204;CARLOS RCA 4;14;1004;UNILEVER;5010;ATACADO PAGUE MENOS;13345678000100;1;ATACAREJO;PB;FBTAX RECIFE;P-302;DOVE SABONETE 90G;CX 48;1;48;7894444444444;288;1152,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;102;ANTONIO SUPV;2;204;CARLOS RCA 4;14;1003;HEINZ;5010;ATACADO PAGUE MENOS;13345678000100;1;ATACAREJO;PB;FBTAX RECIFE;P-201;KETCHUP HEINZ 397G;CX 24;1;24;7892222222222;48;432,00;TRANSMITIDO
2026-T1;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;205;PAULO RCA 5;18;1001;ALPARGATAS;5011;CARREFOUR NATAL;23345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;144;4320,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;205;PAULO RCA 5;18;1001;ALPARGATAS;5011;CARREFOUR NATAL;23345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;120;3600,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;205;PAULO RCA 5;18;1002;COCA-COLA;5011;CARREFOUR NATAL;23345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-101;COCA COLA 2L;FD 6;6;6;7891111111111;72;504,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;206;ROBERTA RCA 6;11;1001;ALPARGATAS;5013;MERCADAO POTIGUAR;43345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;96;2880,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;206;ROBERTA RCA 6;11;1003;HEINZ;5013;MERCADAO POTIGUAR;43345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-202;MAIONESE HELLMANNS 500G;CX 12;1;12;7895555555555;48;480,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;104;ROBERTO SUPV;2;207;CRISTINA RCA 7;13;1002;COCA-COLA;5014;PRIME ATACADO;53345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-101;COCA COLA 2L;FD 6;6;6;7891111111111;144;1008,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;104;ROBERTO SUPV;2;207;CRISTINA RCA 7;13;1002;COCA-COLA;5014;PRIME ATACADO;53345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-102;COCA COLA LATA 350ML;FD 12;12;12;7891111111112;288;576,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;104;ROBERTO SUPV;2;207;CRISTINA RCA 7;13;1004;UNILEVER;5014;PRIME ATACADO;53345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-303;CLEAR SHAMPOO 200ML;CX 24;1;24;7896666666666;36;540,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;104;ROBERTO SUPV;2;208;DIEGO RCA 8;9;1001;ALPARGATAS;5015;LOJAS BRASILIA;63345678000100;3;ESPECIALIZADO;RN;FBTAX NATAL;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;48;1440,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5050;FARMACIA RECIFE;14345678000100;4;FARMACIA;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;0;0,00;FATURADO
2026-T1;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;202;JOAO RCA 2;12;1001;ALPARGATAS;5051;PADARIA NOVA;24345678000100;2;VAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;0;0,00;FATURADO
2026-T1;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;206;ROBERTA RCA 6;11;1001;ALPARGATAS;5052;LOJINHA DO CENTRO;34345678000100;2;VAREJO;RN;FBTAX NATAL;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;0;0,00;FATURADO
