PERIODO;CODGERENTE;GERENTE;CODSUPERVISOR;SUPERVISOR;QTRCA_SUPERVISOR;CODUSUR;RCA;QTCLI_RCA;CODFORNEC;FORNECEDOR;CODCLI;CLIENTE;CNPJ;CODRAMO;RAMO;UF;EMPRESA;CODPROD;PRODUTO;EMBALAGEM;QTUNIT;QTUNITCX;EAN;QT;PVENDA;ESTADO
2025-05;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;120;3600,00;FATURADO
2025-05;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;80;2400,00;FATURADO
2025-05;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1002;COCA-COLA;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-101;COCA COLA 2L;FD 6;6;6;7891111111111;60;420,00;FATURADO
2025-05;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5002;PADARIA DO ZE;22345678000100;2;VAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;24;720,00;FATURADO
2025-05;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1003;HEINZ;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-201;KETCHUP HEINZ 397G;CX 24;1;24;7892222222222;48;432,00;FATURADO
2025-05;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1004;UNILEVER;5003;SUPERMERCADO RIO BRANCO;32345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-301;OMO 1KG;CX 18;1;18;7893333333333;100;1500,00;FATURADO
2025-05;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;202;JOAO RCA 2;12;1001;ALPARGATAS;5004;CASA DAS SANDALIAS;42345678000100;3;ESPECIALIZADO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;36;1080,00;FATURADO
2025-05;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;202;JOAO RCA 2;12;1001;ALPARGATAS;5005;LOJAS REUNIDAS;52345678000100;3;ESPECIALIZADO;PE;FBTAX RECIFE;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;48;1440,00;FATURADO
2025-05;01;CARLOS GERENTE NORDESTE;102;ANTONIO SUPV;2;203;ANA RCA 3;10;1001;ALPARGATAS;5007;SUPERMERCADO PARAIBANO;72345678000100;1;ATACAREJO;PB;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;60;1800,00;FATURADO
2025-05;01;CARLOS GERENTE NORDESTE;102;ANTONIO SUPV;2;204;CARLOS RCA 4;14;1001;ALPARGATAS;5009;SHOPPING DA MODA;92345678000100;3;ESPECIALIZADO;PB;FBTAX RECIFE;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;120;3600,00;FATURADO
2025-05;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;205;PAULO RCA 5;18;1001;ALPARGATAS;5011;CARREFOUR NATAL;23345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;180;5400,00;FATURADO
2025-05;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;205;PAULO RCA 5;18;1001;ALPARGATAS;5011;CARREFOUR NATAL;23345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-002;HAVAIANAS PRETA 40;CX 12;1;12;7891234567891;144;4320,00;FATURADO
2025-05;02;FERNANDA GERENTE NORTE;103;LUCIA SUPV;2;206;ROBERTA RCA 6;11;1001;ALPARGATAS;5013;MERCADAO POTIGUAR;43345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;72;2160,00;FATURADO
2025-05;02;FERNANDA GERENTE NORTE;104;ROBERTO SUPV;2;207;CRISTINA RCA 7;13;1002;COCA-COLA;5014;PRIME ATACADO;53345678000100;1;ATACAREJO;RN;FBTAX NATAL;P-101;COCA COLA 2L;FD 6;6;6;7891111111111;120;840,00;FATURADO
2025-04;01;CARLOS GERENTE NORDESTE;101;PEDRO SUPV;2;201;MARIA RCA 1;15;1001;ALPARGATAS;5001;MERCADO BOM PRECO;12345678000100;1;ATACAREJO;PE;FBTAX RECIFE;P-001;HAVAIANAS BRANCA 39;CX 12;1;12;7891234567890;100;3000,00;FATURADO
